Date,Traffic source,Views
2025-02-27,Direct or unknown,471
2025-02-28,Direct or unknown,504
2025-03-01,Direct or unknown,471
2025-03-02,Direct or unknown,504
2025-03-03,Direct or unknown,455
2025-03-04,Direct or unknown,459
2025-03-05,Direct or unknown,488
2025-03-06,Direct or unknown,492
2025-03-07,Direct or unknown,525
2025-03-08,Direct or unknown,558
2025-03-09,Direct or unknown,531
2025-03-10,Direct or unknown,536
2025-03-11,Direct or unknown,521
2025-03-12,Direct or unknown,496
2025-03-13,Direct or unknown,596
2025-03-14,Direct or unknown,626
2025-03-15,Direct or unknown,711
2025-03-16,Direct or unknown,723
2025-03-17,Direct or unknown,600
2025-03-18,Direct or unknown,599
2025-03-19,Direct or unknown,574
2025-03-20,Direct or unknown,615
2025-03-21,Direct or unknown,675
2025-03-22,Direct or unknown,747
2025-03-23,Direct or unknown,701
2025-03-24,Direct or unknown,553
2025-03-25,Direct or unknown,556
2025-03-26,Direct or unknown,298
2025-02-27,Browse features,2871
2025-02-28,Browse features,2685
2025-03-01,Browse features,3182
2025-03-02,Browse features,2906
2025-03-03,Browse features,2723
2025-03-04,Browse features,2626
2025-03-05,Browse features,2571
2025-03-06,Browse features,2607
2025-03-07,Browse features,3116
2025-03-08,Browse features,3126
2025-03-09,Browse features,3516
2025-03-10,Browse features,3119
2025-03-11,Browse features,2960
2025-03-12,Browse features,2866
2025-03-13,Browse features,2598
2025-03-14,Browse features,2794
2025-03-15,Browse features,2817
2025-03-16,Browse features,3179
2025-03-17,Browse features,2859
2025-03-18,Browse features,2958
2025-03-19,Browse features,2520
2025-03-20,Browse features,2353
2025-03-21,Browse features,2328
2025-03-22,Browse features,2551
2025-03-23,Browse features,2959
2025-03-24,Browse features,2719
2025-03-25,Browse features,2632
2025-03-26,Browse features,2556
2025-02-27,Channel pages,22
2025-02-28,Channel pages,36
2025-03-01,Channel pages,67
2025-03-02,Channel pages,49
2025-03-03,Channel pages,47
2025-03-04,Channel pages,49
2025-03-05,Channel pages,36
2025-03-06,Channel pages,53
2025-03-07,Channel pages,58
2025-03-08,Channel pages,63
2025-03-09,Channel pages,41
2025-03-10,Channel pages,46
2025-03-11,Channel pages,28
2025-03-12,Channel pages,39
2025-03-13,Channel pages,43
2025-03-14,Channel pages,50
2025-03-15,Channel pages,48
2025-03-16,Channel pages,55
2025-03-17,Channel pages,47
2025-03-18,Channel pages,42
2025-03-19,Channel pages,34
2025-03-20,Channel pages,51
2025-03-21,Channel pages,52
2025-03-22,Channel pages,44
2025-03-23,Channel pages,46
2025-03-24,Channel pages,62
2025-03-25,Channel pages,42
2025-03-26,Channel pages,33
2025-02-27,YouTube search,10603
2025-02-28,YouTube search,11275
2025-03-01,YouTube search,13349
2025-03-02,YouTube search,13445
2025-03-03,YouTube search,11313
2025-03-04,YouTube search,10371
2025-03-05,YouTube search,10101
2025-03-06,YouTube search,10341
2025-03-07,YouTube search,11109
2025-03-08,YouTube search,13071
2025-03-09,YouTube search,12669
2025-03-10,YouTube search,10456
2025-03-11,YouTube search,9821
2025-03-12,YouTube search,9878
2025-03-13,YouTube search,9587
2025-03-14,YouTube search,10491
2025-03-15,YouTube search,12518
2025-03-16,YouTube search,12931
2025-03-17,YouTube search,10844
2025-03-18,YouTube search,10193
2025-03-19,YouTube search,10633
2025-03-20,YouTube search,10141
2025-03-21,YouTube search,10889
2025-03-22,YouTube search,12355
2025-03-23,YouTube search,12864
2025-03-24,YouTube search,10078
2025-03-25,YouTube search,9881
2025-03-26,YouTube search,9381
2025-02-27,Suggested videos,445
2025-02-28,Suggested videos,414
2025-03-01,Suggested videos,440
2025-03-02,Suggested videos,351
2025-03-03,Suggested videos,385
2025-03-04,Suggested videos,369
2025-03-05,Suggested videos,368
2025-03-06,Suggested videos,345
2025-03-07,Suggested videos,395
2025-03-08,Suggested videos,411
2025-03-09,Suggested videos,418
2025-03-10,Suggested videos,333
2025-03-11,Suggested videos,313
2025-03-12,Suggested videos,298
2025-03-13,Suggested videos,277
2025-03-14,Suggested videos,307
2025-03-15,Suggested videos,362
2025-03-16,Suggested videos,407
2025-03-17,Suggested videos,428
2025-03-18,Suggested videos,406
2025-03-19,Suggested videos,356
2025-03-20,Suggested videos,338
2025-03-21,Suggested videos,394
2025-03-22,Suggested videos,446
2025-03-23,Suggested videos,490
2025-03-24,Suggested videos,406
2025-03-25,Suggested videos,467
2025-03-26,Suggested videos,555
2025-02-27,Other YouTube features,505
2025-02-28,Other YouTube features,567
2025-03-01,Other YouTube features,683
2025-03-02,Other YouTube features,644
2025-03-03,Other YouTube features,544
2025-03-04,Other YouTube features,585
2025-03-05,Other YouTube features,583
2025-03-06,Other YouTube features,537
2025-03-07,Other YouTube features,571
2025-03-08,Other YouTube features,709
2025-03-09,Other YouTube features,677
2025-03-10,Other YouTube features,558
2025-03-11,Other YouTube features,508
2025-03-12,Other YouTube features,576
2025-03-13,Other YouTube features,508
2025-03-14,Other YouTube features,566
2025-03-15,Other YouTube features,834
2025-03-16,Other YouTube features,831
2025-03-17,Other YouTube features,656
2025-03-18,Other YouTube features,613
2025-03-19,Other YouTube features,601
2025-03-20,Other YouTube features,538
2025-03-21,Other YouTube features,645
2025-03-22,Other YouTube features,753
2025-03-23,Other YouTube features,776
2025-03-24,Other YouTube features,612
2025-03-25,Other YouTube features,675
2025-03-26,Other YouTube features,582
2025-02-27,External,697
2025-02-28,External,797
2025-03-01,External,959
2025-03-02,External,848
2025-03-03,External,709
2025-03-04,External,693
2025-03-05,External,695
2025-03-06,External,660
2025-03-07,External,752
2025-03-08,External,909
2025-03-09,External,837
2025-03-10,External,666
2025-03-11,External,718
2025-03-12,External,601
2025-03-13,External,662
2025-03-14,External,777
2025-03-15,External,925
2025-03-16,External,869
2025-03-17,External,666
2025-03-18,External,664
2025-03-19,External,741
2025-03-20,External,875
2025-03-21,External,984
2025-03-22,External,945
2025-03-23,External,904
2025-03-24,External,709
2025-03-25,External,657
2025-03-26,External,626
2025-02-27,Video cards and annotations,0
2025-02-28,Video cards and annotations,0
2025-03-01,Video cards and annotations,0
2025-03-02,Video cards and annotations,0
2025-03-03,Video cards and annotations,0
2025-03-04,Video cards and annotations,0
2025-03-05,Video cards and annotations,0
2025-03-06,Video cards and annotations,0
2025-03-07,Video cards and annotations,0
2025-03-08,Video cards and annotations,0
2025-03-09,Video cards and annotations,0
2025-03-10,Video cards and annotations,1
2025-03-11,Video cards and annotations,0
2025-03-12,Video cards and annotations,0
2025-03-13,Video cards and annotations,0
2025-03-14,Video cards and annotations,0
2025-03-15,Video cards and annotations,1
2025-03-16,Video cards and annotations,0
2025-03-17,Video cards and annotations,1
2025-03-18,Video cards and annotations,0
2025-03-19,Video cards and annotations,0
2025-03-20,Video cards and annotations,0
2025-03-21,Video cards and annotations,0
2025-03-22,Video cards and annotations,0
2025-03-23,Video cards and annotations,0
2025-03-24,Video cards and annotations,0
2025-03-25,Video cards and annotations,1
2025-03-26,Video cards and annotations,0
2025-02-27,Playlists,157
2025-02-28,Playlists,188
2025-03-01,Playlists,207
2025-03-02,Playlists,172
2025-03-03,Playlists,112
2025-03-04,Playlists,136
2025-03-05,Playlists,124
2025-03-06,Playlists,117
2025-03-07,Playlists,160
2025-03-08,Playlists,214
2025-03-09,Playlists,188
2025-03-10,Playlists,165
2025-03-11,Playlists,119
2025-03-12,Playlists,121
2025-03-13,Playlists,137
2025-03-14,Playlists,113
2025-03-15,Playlists,176
2025-03-16,Playlists,195
2025-03-17,Playlists,185
2025-03-18,Playlists,181
2025-03-19,Playlists,171
2025-03-20,Playlists,174
2025-03-21,Playlists,195
2025-03-22,Playlists,172
2025-03-23,Playlists,187
2025-03-24,Playlists,156
2025-03-25,Playlists,162
2025-03-26,Playlists,159
2025-02-27,Notifications,1
2025-02-28,Notifications,0
2025-03-01,Notifications,0
2025-03-02,Notifications,0
2025-03-03,Notifications,0
2025-03-04,Notifications,0
2025-03-05,Notifications,0
2025-03-06,Notifications,0
2025-03-07,Notifications,2
2025-03-08,Notifications,0
2025-03-09,Notifications,0
2025-03-10,Notifications,0
2025-03-11,Notifications,0
2025-03-12,Notifications,1
2025-03-13,Notifications,1
2025-03-14,Notifications,0
2025-03-15,Notifications,2
2025-03-16,Notifications,0
2025-03-17,Notifications,0
2025-03-18,Notifications,1
2025-03-19,Notifications,1
2025-03-20,Notifications,1
2025-03-21,Notifications,0
2025-03-22,Notifications,1
2025-03-23,Notifications,1
2025-03-24,Notifications,0
2025-03-25,Notifications,3
2025-03-26,Notifications,0
2025-02-27,End screens,82
2025-02-28,End screens,78
2025-03-01,End screens,118
2025-03-02,End screens,116
2025-03-03,End screens,85
2025-03-04,End screens,87
2025-03-05,End screens,102
2025-03-06,End screens,92
2025-03-07,End screens,77
2025-03-08,End screens,103
2025-03-09,End screens,106
2025-03-10,End screens,100
2025-03-11,End screens,85
2025-03-12,End screens,92
2025-03-13,End screens,81
2025-03-14,End screens,97
2025-03-15,End screens,91
2025-03-16,End screens,123
2025-03-17,End screens,103
2025-03-18,End screens,92
2025-03-19,End screens,89
2025-03-20,End screens,70
2025-03-21,End screens,84
2025-03-22,End screens,111
2025-03-23,End screens,104
2025-03-24,End screens,95
2025-03-25,End screens,86
2025-03-26,End screens,96
2025-02-27,Shorts feed,579
2025-02-28,Shorts feed,867
2025-03-01,Shorts feed,718
2025-03-02,Shorts feed,476
2025-03-03,Shorts feed,502
2025-03-04,Shorts feed,791
2025-03-05,Shorts feed,875
2025-03-06,Shorts feed,910
2025-03-07,Shorts feed,497
2025-03-08,Shorts feed,758
2025-03-09,Shorts feed,794
2025-03-10,Shorts feed,670
2025-03-11,Shorts feed,664
2025-03-12,Shorts feed,1030
2025-03-13,Shorts feed,608
2025-03-14,Shorts feed,839
2025-03-15,Shorts feed,1250
2025-03-16,Shorts feed,1027
2025-03-17,Shorts feed,1102
2025-03-18,Shorts feed,823
2025-03-19,Shorts feed,677
2025-03-20,Shorts feed,709
2025-03-21,Shorts feed,643
2025-03-22,Shorts feed,1191
2025-03-23,Shorts feed,1084
2025-03-24,Shorts feed,1282
2025-03-25,Shorts feed,2160
2025-03-26,Shorts feed,1027
2025-02-27,Hashtag pages,2
2025-02-28,Hashtag pages,2
2025-03-01,Hashtag pages,5
2025-03-02,Hashtag pages,3
2025-03-03,Hashtag pages,4
2025-03-04,Hashtag pages,4
2025-03-05,Hashtag pages,5
2025-03-06,Hashtag pages,2
2025-03-07,Hashtag pages,8
2025-03-08,Hashtag pages,3
2025-03-09,Hashtag pages,2
2025-03-10,Hashtag pages,4
2025-03-11,Hashtag pages,3
2025-03-12,Hashtag pages,5
2025-03-13,Hashtag pages,6
2025-03-14,Hashtag pages,9
2025-03-15,Hashtag pages,10
2025-03-16,Hashtag pages,3
2025-03-17,Hashtag pages,2
2025-03-18,Hashtag pages,3
2025-03-19,Hashtag pages,4
2025-03-20,Hashtag pages,6
2025-03-21,Hashtag pages,8
2025-03-22,Hashtag pages,7
2025-03-23,Hashtag pages,6
2025-03-24,Hashtag pages,3
2025-03-25,Hashtag pages,2
2025-03-26,Hashtag pages,4
2025-02-27,Sound pages,0
2025-02-28,Sound pages,0
2025-03-01,Sound pages,0
2025-03-02,Sound pages,0
2025-03-03,Sound pages,0
2025-03-04,Sound pages,0
2025-03-05,Sound pages,0
2025-03-06,Sound pages,0
2025-03-07,Sound pages,0
2025-03-08,Sound pages,1
2025-03-09,Sound pages,0
2025-03-10,Sound pages,0
2025-03-11,Sound pages,0
2025-03-12,Sound pages,0
2025-03-13,Sound pages,0
2025-03-14,Sound pages,0
2025-03-15,Sound pages,0
2025-03-16,Sound pages,0
2025-03-17,Sound pages,0
2025-03-18,Sound pages,0
2025-03-19,Sound pages,0
2025-03-20,Sound pages,0
2025-03-21,Sound pages,0
2025-03-22,Sound pages,0
2025-03-23,Sound pages,0
2025-03-24,Sound pages,1
2025-03-25,Sound pages,1
2025-03-26,Sound pages,1
2025-02-27,Related Shorts,46
2025-02-28,Related Shorts,50
2025-03-01,Related Shorts,55
2025-03-02,Related Shorts,69
2025-03-03,Related Shorts,48
2025-03-04,Related Shorts,58
2025-03-05,Related Shorts,58
2025-03-06,Related Shorts,39
2025-03-07,Related Shorts,49
2025-03-08,Related Shorts,68
2025-03-09,Related Shorts,68
2025-03-10,Related Shorts,45
2025-03-11,Related Shorts,41
2025-03-12,Related Shorts,65
2025-03-13,Related Shorts,47
2025-03-14,Related Shorts,50
2025-03-15,Related Shorts,69
2025-03-16,Related Shorts,90
2025-03-17,Related Shorts,75
2025-03-18,Related Shorts,79
2025-03-19,Related Shorts,75
2025-03-20,Related Shorts,46
2025-03-21,Related Shorts,75
2025-03-22,Related Shorts,76
2025-03-23,Related Shorts,95
2025-03-24,Related Shorts,63
2025-03-25,Related Shorts,62
2025-03-26,Related Shorts,56
