Traffic source,Views,Watch time (hours),Average view duration,Impressions,Impressions click-through rate (%)
Total,489680,13042.4778,0:01:35,3279288,9.49
YouTube search,310588,8153.1893,0:01:34,2081278,11.67
Browse features,78697,2352.6729,0:01:47,758954,7.44
Shorts feed,24553,151.4151,0:00:22,,
External,21545,500.8728,0:01:23,,
Other YouTube features,17437,597.0473,0:02:03,,
Direct or unknown,15585,347.0993,0:01:20,,
Suggested videos,10924,458.9502,0:02:31,323436,2.21
Playlists,4543,144.9058,0:01:54,60774,5.82
End screens,2645,191.3525,0:04:20,,
Related Shorts,1717,99.3266,0:03:28,,
Channel pages,1283,44.9825,0:02:06,54846,1.8
Hashtag pages,125,0.5343,0:00:15,,
Notifications,15,0.0458,0:00:10,,
Video cards and annotations,4,0.066,0:00:59,,
Sound pages,4,0.0199,0:00:17,,
